Nodes,CharCap
1,0.1565185185185183
2,0.024074074074074
3,0.25177777777777766
4,0.5662962962962962
5,0.749925925925926
6,0.3271574074074063
7,0.11750514403292212
8,0.1122962962962962
9,0.4725277777777777
10,3.703703703703704e-05
11,0.0573333333333333
12,0.2791497942386801
13,0.07978847736625723
14,1.1583215548882257
15,0.0
16,0.02855555555555578
17,0.028555555555555223
18,0.07411111111111102
19,0.10296296296296292
20,0.1655185185185185
21,0.07851851851851849
22,0.0923259259259259
23,0.060679012345679
24,0.0
25,0.1511985596707815
26,0.0
