Nodes,CharCap
1,0.1565185185185183
2,0.024074074074074
3,0.25177777777777766
4,0.5662962962962962
5,0.7499259259259258
6,0.3271574074074059
7,0.11750514403292084
8,0.1122962962962962
9,0.4725277777777755
10,0.2602144477811174
11,0.0573333333333333
12,0.27953497942384753
13,0.07940329218108991
14,0.0873333333333333
15,0.0
16,0.0285555555555555
17,0.028555555555557808
18,0.07411111111111102
19,0.10296296296296292
20,0.1655185185185185
21,0.07851851851851849
22,0.0923259259259259
23,0.060679012345679
24,0.0
25,0.15119855967078277
26,0.0
