Nodes,Levels,Times,Scenarios,NumCars
26,8,1,14,0.0
26,8,1,15,0.0
26,8,1,16,0.0
26,8,1,17,0.0
26,8,1,18,0.0
26,8,1,19,0.0
26,8,2,0,0.0185496296296296
26,8,2,1,0.0185496296296296
26,8,2,2,0.0185496296296296
26,8,2,3,0.0185496296296296
26,8,2,4,0.0185496296296296
26,8,2,5,0.0185496296296296
26,8,2,6,0.0185496296296296
26,8,2,7,0.0185496296296296
26,8,2,8,0.0185496296296296
26,8,2,9,0.0185496296296296
26,8,2,10,0.0185496296296296
26,8,2,11,0.0185496296296296
26,8,2,12,0.0185496296296296
26,8,2,13,0.0185496296296296
26,8,2,14,0.0185496296296296
26,8,2,15,0.0185496296296296
26,8,2,16,0.0185496296296296
26,8,2,17,0.0185496296296296
26,8,2,18,0.0185496296296296
26,8,2,19,0.0185496296296296
26,8,3,0,0.0419651851851851
26,8,3,1,0.0419651851851851
26,8,3,2,0.0419651851851851
26,8,3,3,0.0419651851851851
26,8,3,4,0.0419651851851851
26,8,3,5,0.0419651851851851
26,8,3,6,0.0419651851851851
26,8,3,7,0.0419651851851851
26,8,3,8,0.0419651851851851
26,8,3,9,0.0419651851851851
26,8,3,10,0.0419651851851851
26,8,3,11,0.0419651851851851
26,8,3,12,0.0419651851851851
26,8,3,13,0.0419651851851851
26,8,3,14,0.0419651851851851
26,8,3,15,0.0419651851851851
26,8,3,16,0.0419651851851851
26,8,3,17,0.0419651851851851
26,8,3,18,0.0419651851851851
26,8,3,19,0.0419651851851851
26,8,4,0,0.0419651851851851
26,8,4,1,0.0419651851851851
26,8,4,2,0.34849851851851843
26,8,4,3,0.34849851851851843
26,8,4,4,0.34849851851851843
26,8,4,5,0.34849851851851843
26,8,4,6,0.34849851851851843
26,8,4,7,0.34849851851851843
26,8,4,8,0.34849851851851843
26,8,4,9,0.34849851851851843
26,8,4,10,0.0419651851851851
26,8,4,11,0.34849851851851843
26,8,4,12,0.34849851851851843
26,8,4,13,0.34849851851851843
26,8,4,14,0.0419651851851851
26,8,4,15,0.0419651851851851
26,8,4,16,0.34849851851851843
26,8,4,17,0.0419651851851851
26,8,4,18,0.34849851851851843
26,8,4,19,0.0419651851851851
26,8,5,0,0.0419651851851851
26,8,5,1,0.0419651851851851
26,8,5,2,0.34849851851851843
26,8,5,3,0.34849851851851843
26,8,5,4,0.34849851851851843
26,8,5,5,0.34849851851851843
26,8,5,6,0.34849851851851843
26,8,5,7,0.34849851851851843
26,8,5,8,0.34849851851851843
26,8,5,9,0.34849851851851843
26,8,5,10,0.0419651851851851
26,8,5,11,0.34849851851851843
26,8,5,12,0.34849851851851843
26,8,5,13,0.34849851851851843
26,8,5,14,0.0419651851851851
26,8,5,15,0.0419651851851851
26,8,5,16,0.34849851851851843
26,8,5,17,0.0419651851851851
26,8,5,18,0.34849851851851843
26,8,5,19,0.0419651851851851
