Nodes,CharCap
1,0.3051851851851848
2,0.0
3,0.19900370370373588
4,0.5662962962962962
5,0.3749629629629629
6,0.16507407407406793
7,0.09299999999999965
8,0.1437037037037036
9,0.14561111111111105
10,0.25798619869869
11,0.0382222222222222
12,0.2122222222222222
13,0.050605555555555515
14,0.019705555555555587
15,0.0
16,0.007138888888888889
17,0.0285555555555555
18,0.07722222222222219
19,0.09251851851851846
20,0.23952731481481018
21,0.1565185185185183
22,0.13868518518518513
23,0.04550925925925923
24,0.0
25,0.1318518518518408
26,0.0244074074074074
