B,Speed,Initial Charging,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Normal,high,2,71.90726548,5.160885934,5.211139859,38.56300211
4,Normal,high,2,72.03900074,5.166077725,5.211139859,39.07098222
7,Normal,high,2,72.03900074,5.166077725,5.211139859,38.82955503
10,Normal,high,2,72.03900074,5.166077725,5.211139859,38.08303809
13,Normal,high,2,72.03900074,5.166077725,5.211139859,37.47038198
16,Normal,high,2,72.03900074,5.166077725,5.211139859,37.38921094
19,Normal,high,2,72.03900074,5.166077725,5.211139859,37.31038904
