Nodes,CharCap
1,0.43031111111111076
2,0.0125185185185185
3,0.0
4,0.48003529529526645
5,0.5661288888889081
6,0.33416444444444426
7,0.055285185185185104
8,0.08424666666666089
9,0.2250207407407406
10,0.0
11,0.0401333333333332
12,0.1517603703703692
13,0.03218962962965097
14,0.00960666666666665
15,0.0
16,0.0031411111111111
17,0.0079955555555555
18,0.0216222222222222
19,0.0693059259259258
20,0.004091851851850403
21,0.03311851851851835
22,0.035759259259259234
23,0.012441481481479659
24,0.0
25,0.09382592592592581
26,0.0
