B,Speed,Initial Charging,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Half_speed,low,2,60.82210829,4.725966346,5.279706713,79.20914769
4,Half_speed,low,2,63.93615888,4.857083096,5.254948102,81.05390906
7,Half_speed,low,2,66.01397702,4.954134942,5.253259212,82.9441781
10,Half_speed,low,2,67.31192953,5.012867298,5.253259212,84.69884515
13,Half_speed,low,2,68.39301061,5.060084589,5.253259212,85.86352587
16,Half_speed,low,2,69.23377194,5.095786344,5.253259212,85.20889997
19,Half_speed,low,2,69.66302444,5.113681648,5.253259212,85.05851507
