B,Speed,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Half_speed,2,66.60451051,4.957959332,5.232167676,81.51785016
4,Half_speed,2,69.04035043,5.064138759,5.231084943,84.06527209
7,Half_speed,2,70.23338878,5.114009556,5.231084943,84.80026793
10,Half_speed,2,71.09058605,5.1488083,5.231084943,87.10054183
13,Half_speed,2,71.17122222,5.152038667,5.231084943,93.56931376
16,Half_speed,2,71.1713763,5.152046997,5.231087048,92.61337399
19,Half_speed,2,71.17122222,5.152038667,5.231084943,89.69169092
