Nodes,CharCap
1,0.3051851851851848
2,0.024074074074074
3,1.8452115240239964
4,0.20524074074074175
5,0.08174999999998894
6,0.455148148148159
7,0.09700000000000228
8,0.23982621082621813
9,0.41969675925926164
10,7.407407407407409e-05
11,0.11185541310541412
12,0.1339166666666692
13,0.06605555555555555
14,0.016597222222221788
15,0.0
16,0.007138888888888875
17,0.0285555555555555
18,0.05587037037036796
19,0.1069444444444444
20,0.27488888888889834
21,0.14034472934473663
22,0.09956125356125431
23,0.062273504273501146
24,0.0
25,0.3335185185185183
26,0.0244074074074074
