Nodes,Levels,Times,Scenarios,NumCars
15,0,6,7,1.4224814814814817
15,0,6,8,1.4539259259259256
15,0,6,9,1.4539259259259256
15,0,6,10,1.5797777777777773
15,0,6,11,1.4539259259259256
15,0,6,12,1.4539259259259256
15,0,6,13,1.4539259259259256
15,0,6,14,1.5671851851851848
15,0,6,15,1.6062535359433485
15,0,6,16,1.77558024691358
15,0,6,17,1.8482592592592637
15,0,6,18,1.4539259259259258
15,0,6,19,1.5797777777777773
15,0,7,0,1.657333333333338
15,0,7,1,1.5705745235976694
15,0,7,2,1.8629259259259254
15,0,7,3,1.8629135802469132
15,0,7,4,1.8629259259259254
15,0,7,5,1.8629259259259259
15,0,7,6,1.8629259259259254
15,0,7,7,1.8629259259259254
15,0,7,8,1.8629259259259254
15,0,7,9,1.8629259259259254
15,0,7,10,1.8418090914989038
15,0,7,11,1.8629259259259254
15,0,7,12,1.8629259259259254
15,0,7,13,1.8629259259259254
15,0,7,14,1.7664016840914964
15,0,7,15,1.9887777777777775
15,0,7,16,1.8629135802469132
15,0,7,17,1.935592592592597
15,0,7,18,1.8629259259259259
15,0,7,19,1.8418090914989038
15,0,8,0,2.519312457519255
15,0,8,1,2.6469135802469133
15,0,8,2,2.5210370370370363
15,0,8,3,2.6469135802469133
15,0,8,4,2.5210370370370363
15,0,8,5,2.5210370370370367
15,0,8,6,2.5210370370370363
15,0,8,7,2.6468888888888884
15,0,8,8,2.5210370370370363
15,0,8,9,2.5210370370370363
15,0,8,10,2.6468888888888884
15,0,8,11,2.5210370370370363
15,0,8,12,2.5210370370370363
15,0,8,13,2.5210370370370363
15,0,8,14,2.6468888888888884
15,0,8,15,2.6468888888888884
15,0,8,16,2.6469135802469133
15,0,8,17,2.9452189110406755
15,0,8,18,2.5210370370370367
15,0,8,19,2.6468888888888884
15,1,0,0,0.0
15,1,0,1,0.0
15,1,0,2,0.0
15,1,0,3,0.0
15,1,0,4,0.0
15,1,0,5,0.0
15,1,0,6,0.0
15,1,0,7,0.0
15,1,0,8,0.0
15,1,0,9,0.0
15,1,0,10,0.0
15,1,0,11,0.0
15,1,0,12,0.0
15,1,0,13,0.0
15,1,0,14,0.0
15,1,0,15,0.0
15,1,0,16,0.0
15,1,0,17,0.0
15,1,0,18,0.0
15,1,0,19,0.0
15,1,1,0,0.0
15,1,1,1,0.0
