Nodes,CharCap
1,0.43031111111111076
2,0.0125185185185185
3,0.1258518518518518
4,0.453037037037037
5,0.5821351851851668
6,0.3092577777777777
7,0.11259037037036984
8,0.1010666666666665
9,0.2438333333333333
10,0.0
11,0.0401333333333332
12,0.23224629629631216
13,0.08622444444444383
14,0.006404444444444434
15,1.1040940465465507
16,0.0031411111111111
17,0.0079955555555555
18,0.0169888888888888
19,0.0693059259259258
20,0.215174074074074
21,0.03311851851851835
22,0.041006388888889474
23,0.010012037037037024
24,0.0
25,0.08787740740740729
26,0.0
