Edges,From,To,Scenario,Time,Probability
51,15,14,12,,0.05
52,16,9,12,,0.05
53,17,16,12,,0.05
54,18,7,12,,0.05
55,19,18,12,,0.05
56,20,19,12,,0.05
57,21,8,12,,0.05
58,22,21,12,,0.05
59,23,22,12,,0.05
60,24,23,12,,0.05
61,25,6,12,,0.05
62,25,7,12,,0.05
63,25,11,12,,0.05
64,26,17,12,,0.05
33,2,1,13,,0.05
34,3,2,13,,0.05
35,4,3,13,,0.05
36,5,4,13,,0.05
37,6,5,13,,0.05
38,7,6,13,,0.05
39,8,7,13,16.66644897,0.05
40,1,8,13,13.38853658,0.05
41,9,4,13,,0.05
42,9,5,13,,0.05
43,10,2,13,,0.05
44,10,3,13,,0.05
45,11,10,13,,0.05
46,11,5,13,,0.05
47,11,6,13,,0.05
48,12,4,13,,0.05
49,13,12,13,,0.05
50,14,13,13,,0.05
51,15,14,13,,0.05
52,16,9,13,,0.05
53,17,16,13,,0.05
54,18,7,13,,0.05
55,19,18,13,,0.05
56,20,19,13,,0.05
57,21,8,13,20.37035116,0.05
58,22,21,13,,0.05
59,23,22,13,,0.05
60,24,23,13,,0.05
61,25,6,13,,0.05
62,25,7,13,,0.05
63,25,11,13,,0.05
64,26,17,13,,0.05
33,2,1,14,6.432891846,0.05
34,3,2,14,11.51750387,0.05
35,4,3,14,,0.05
36,5,4,14,,0.05
37,6,5,14,,0.05
38,7,6,14,,0.05
39,8,7,14,,0.05
40,1,8,14,,0.05
41,9,4,14,,0.05
42,9,5,14,,0.05
43,10,2,14,9.25528158,0.05
44,10,3,14,,0.05
45,11,10,14,,0.05
46,11,5,14,,0.05
47,11,6,14,,0.05
48,12,4,14,,0.05
49,13,12,14,,0.05
50,14,13,14,,0.05
51,15,14,14,,0.05
52,16,9,14,,0.05
53,17,16,14,,0.05
54,18,7,14,,0.05
55,19,18,14,,0.05
56,20,19,14,,0.05
57,21,8,14,,0.05
58,22,21,14,,0.05
59,23,22,14,,0.05
60,24,23,14,,0.05
61,25,6,14,,0.05
62,25,7,14,,0.05
63,25,11,14,,0.05
64,26,17,14,,0.05
33,2,1,15,,0.05
34,3,2,15,,0.05
35,4,3,15,,0.05
36,5,4,15,16.1214152,0.05
37,6,5,15,13.9951416,0.05
38,7,6,15,,0.05
39,8,7,15,,0.05
40,1,8,15,,0.05
41,9,4,15,,0.05
42,9,5,15,,0.05
43,10,2,15,,0.05
44,10,3,15,,0.05
45,11,10,15,0.5,0.05
46,11,5,15,0.5,0.05
47,11,6,15,1.38718516,0.05
48,12,4,15,,0.05
49,13,12,15,,0.05
50,14,13,15,,0.05
51,15,14,15,,0.05
52,16,9,15,,0.05
53,17,16,15,,0.05
54,18,7,15,,0.05
55,19,18,15,,0.05
56,20,19,15,,0.05
57,21,8,15,,0.05
58,22,21,15,,0.05
59,23,22,15,,0.05
60,24,23,15,,0.05
61,25,6,15,,0.05
62,25,7,15,,0.05
63,25,11,15,1.214187113,0.05
64,26,17,15,,0.05
33,2,1,16,,0.05
34,3,2,16,,0.05
35,4,3,16,,0.05
36,5,4,16,1.231523641,0.05
37,6,5,16,,0.05
38,7,6,16,,0.05
39,8,7,16,,0.05
40,1,8,16,,0.05
41,9,4,16,,0.05
42,9,5,16,,0.05
43,10,2,16,20.37554728,0.05
44,10,3,16,20.37554728,0.05
45,11,10,16,0.5,0.05
46,11,5,16,7.84342041,0.05
47,11,6,16,8.945535278,0.05
48,12,4,16,,0.05
49,13,12,16,,0.05
50,14,13,16,,0.05
51,15,14,16,,0.05
52,16,9,16,,0.05
53,17,16,16,,0.05
54,18,7,16,,0.05
55,19,18,16,,0.05
56,20,19,16,,0.05
57,21,8,16,,0.05
58,22,21,16,,0.05
59,23,22,16,,0.05
60,24,23,16,,0.05
61,25,6,16,,0.05
62,25,7,16,,0.05
63,25,11,16,8.945535278,0.05
64,26,17,16,,0.05
33,2,1,17,,0.05
34,3,2,17,,0.05
35,4,3,17,,0.05
36,5,4,17,,0.05
37,6,5,17,,0.05
38,7,6,17,12.47115479,0.05
39,8,7,17,20.48934733,0.05
40,1,8,17,,0.05
41,9,4,17,,0.05
42,9,5,17,,0.05
43,10,2,17,,0.05
44,10,3,17,,0.05
45,11,10,17,,0.05
46,11,5,17,,0.05
47,11,6,17,18.48689779,0.05
48,12,4,17,,0.05
49,13,12,17,,0.05
50,14,13,17,,0.05
51,15,14,17,,0.05
52,16,9,17,,0.05
53,17,16,17,,0.05
54,18,7,17,,0.05
55,19,18,17,,0.05
56,20,19,17,,0.05
57,21,8,17,,0.05
58,22,21,17,,0.05
59,23,22,17,,0.05
60,24,23,17,,0.05
61,25,6,17,0.5,0.05
62,25,7,17,0.5,0.05
63,25,11,17,0.5,0.05
64,26,17,17,,0.05
33,2,1,18,,0.05
34,3,2,18,,0.05
35,4,3,18,,0.05
36,5,4,18,,0.05
37,6,5,18,15.94596558,0.05
38,7,6,18,5.129920959,0.05
39,8,7,18,,0.05
40,1,8,18,,0.05
41,9,4,18,,0.05
42,9,5,18,,0.05
43,10,2,18,,0.05
44,10,3,18,,0.05
45,11,10,18,17.82959798,0.05
46,11,5,18,,0.05
47,11,6,18,6.551746623,0.05
48,12,4,18,,0.05
49,13,12,18,,0.05
50,14,13,18,,0.05
51,15,14,18,,0.05
52,16,9,18,,0.05
53,17,16,18,,0.05
54,18,7,18,,0.05
55,19,18,18,,0.05
56,20,19,18,,0.05
57,21,8,18,,0.05
58,22,21,18,,0.05
59,23,22,18,,0.05
60,24,23,18,,0.05
61,25,6,18,0.620194753,0.05
62,25,7,18,0.620194753,0.05
63,25,11,18,0.5,0.05
64,26,17,18,,0.05
33,2,1,19,19.67991333,0.05
34,3,2,19,4.710098775,0.05
35,4,3,19,,0.05
36,5,4,19,,0.05
37,6,5,19,,0.05
38,7,6,19,,0.05
39,8,7,19,,0.05
40,1,8,19,,0.05
41,9,4,19,,0.05
42,9,5,19,,0.05
43,10,2,19,2.171732585,0.05
44,10,3,19,14.85057983,0.05
45,11,10,19,12.44329936,0.05
46,11,5,19,,0.05
47,11,6,19,,0.05
48,12,4,19,,0.05
49,13,12,19,,0.05
50,14,13,19,,0.05
51,15,14,19,,0.05
52,16,9,19,,0.05
53,17,16,19,,0.05
54,18,7,19,,0.05
55,19,18,19,,0.05
56,20,19,19,,0.05
57,21,8,19,,0.05
58,22,21,19,,0.05
59,23,22,19,,0.05
60,24,23,19,,0.05
61,25,6,19,,0.05
62,25,7,19,,0.05
63,25,11,19,,0.05
64,26,17,19,,0.05
33,2,1,20,,0.05
34,3,2,20,,0.05
35,4,3,20,,0.05
36,5,4,20,6.370147705,0.05
37,6,5,20,12.8323822,0.05
38,7,6,20,,0.05
39,8,7,20,,0.05
40,1,8,20,,0.05
41,9,4,20,,0.05
42,9,5,20,,0.05
43,10,2,20,,0.05
44,10,3,20,,0.05
45,11,10,20,0.5,0.05
46,11,5,20,1.093422699,0.05
47,11,6,20,1.6248021439999998,0.05
48,12,4,20,,0.05
49,13,12,20,,0.05
50,14,13,20,,0.05
51,15,14,20,,0.05
52,16,9,20,,0.05
53,17,16,20,,0.05
54,18,7,20,,0.05
55,19,18,20,,0.05
56,20,19,20,,0.05
57,21,8,20,,0.05
58,22,21,20,,0.05
59,23,22,20,,0.05
60,24,23,20,,0.05
61,25,6,20,,0.05
62,25,7,20,,0.05
63,25,11,20,1.6248021439999998,0.05
64,26,17,20,,0.05
