Nodes,Scenario,Time,Probability
14,17,,0.05
15,17,,0.05
16,17,,0.05
17,17,,0.05
18,17,,0.05
19,17,,0.05
20,17,,0.05
21,17,,0.05
22,17,,0.05
23,17,,0.05
24,17,,0.05
25,17,0.5,0.05
26,17,,0.05
1,18,,0.05
2,18,,0.05
3,18,,0.05
4,18,,0.05
5,18,,0.05
6,18,3.2987823486328134,0.05
7,18,,0.05
8,18,,0.05
9,18,,0.05
10,18,,0.05
11,18,10.505098470052085,0.05
12,18,,0.05
13,18,,0.05
14,18,,0.05
15,18,,0.05
16,18,,0.05
17,18,,0.05
18,18,,0.05
19,18,,0.05
20,18,,0.05
21,18,,0.05
22,18,,0.05
23,18,,0.05
24,18,,0.05
25,18,0.5,0.05
26,18,,0.05
1,19,,0.05
2,19,,0.05
3,19,,0.05
4,19,,0.05
5,19,,0.05
6,19,,0.05
7,19,13.518581136067708,0.05
8,19,1.19803466796875,0.05
9,19,,0.05
10,19,,0.05
11,19,,0.05
12,19,,0.05
13,19,,0.05
14,19,,0.05
15,19,,0.05
16,19,,0.05
17,19,,0.05
18,19,,0.05
19,19,,0.05
20,19,,0.05
21,19,,0.05
22,19,,0.05
23,19,,0.05
24,19,,0.05
25,19,16.304632568359366,0.05
26,19,,0.05
1,20,,0.05
2,20,,0.05
3,20,,0.05
4,20,,0.05
5,20,,0.05
6,20,,0.05
7,20,13.518581136067708,0.05
8,20,1.19803466796875,0.05
9,20,,0.05
10,20,,0.05
11,20,,0.05
12,20,,0.05
13,20,,0.05
14,20,,0.05
15,20,,0.05
16,20,,0.05
17,20,,0.05
18,20,,0.05
19,20,,0.05
20,20,,0.05
21,20,,0.05
22,20,,0.05
23,20,,0.05
24,20,,0.05
25,20,16.304632568359366,0.05
26,20,,0.05
