Nodes,CharCap
1,0.06561481481481471
2,0.0
3,0.31984548594049644
4,1.1679248371098458
5,0.639693029847985
6,0.09662814814815758
7,0.061220740740749
8,0.03898814814814994
9,1.6017896296296295
10,2.1481481481481485e-05
11,0.0271377777777777
12,0.5442992592592606
13,0.20182696742197834
14,0.0192133333333333
15,0.0
16,0.014277777777777612
17,0.007995555555555893
18,0.0452266666666582
19,0.0368970370370369
20,0.0
21,0.0543481481481522
22,0.1338659259259245
23,0.02002407407407405
24,0.0
25,0.0382962962962963
26,0.0
