B,Speed,Initial Charging,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Double_speed,high,2,72.04964222,5.165905499,5.210558381,39.16095209
4,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.88249016
7,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.9507091
10,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.42786312
13,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.53873515
16,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.42581892
19,Double_speed,high,2,72.04964222,5.165905499,5.210558381,38.64132404
