B,Speed,Initial Charging,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Half_speed,high,2,71.90726548,5.160885934,5.211139859,81.93830299
4,Half_speed,high,2,72.03900074,5.166077725,5.211139859,80.93581176
7,Half_speed,high,2,72.03900074,5.166077725,5.211139859,80.96449208
10,Half_speed,high,2,72.03900074,5.166077725,5.211139859,78.11378503
13,Half_speed,high,2,72.03900074,5.166077725,5.211139859,76.07235217
16,Half_speed,high,2,72.03900074,5.166077725,5.211139859,84.36782789
19,Half_speed,high,2,72.03900074,5.166077725,5.211139859,83.15411687
