Nodes,CharCap
1,0.002259365079360809
2,0.0
3,0.0
4,0.01844301525054992
5,0.0099377777777777
6,0.1393785185185164
7,0.4887659259259305
8,0.0
9,1.813940209150326
10,0.00019037037037037037
11,0.0053511111111111
12,0.6435844444444445
13,0.7715288888888887
14,0.1105325664487993
15,0.059694899841015704
16,0.054609394335510264
17,0.04533505010893435
18,0.15819111111110906
19,0.18891925925926123
20,0.0
21,0.0965748148148148
22,0.1995559788359788
23,0.3092313227513227
24,0.0
25,0.0191111111111111
26,0.0
