B,Speed,Initial Charging,EvacTime,NumEvac,Avg_evac_time,Avg_evac_time_all,RunTime
1,Double_speed,low,2,60.82210829,4.725966346,5.279706713,41.38303208
4,Double_speed,low,2,64.82665155,4.893298954,5.24878726,41.43494511
7,Double_speed,low,2,67.87430045,5.030483204,5.246644602,42.3601768
10,Double_speed,low,2,69.49592207,5.099774071,5.246644602,43.90138197
13,Double_speed,low,2,71.04446399,5.16294795,5.246604071,43.53285813
16,Double_speed,low,2,71.49413556,5.180506564,5.246325343,43.76254606
19,Double_speed,low,2,71.49413556,5.180506564,5.246325343,42.76664996
